t,y
0,1.0
1,0.9876883405951378
2,0.9510565162951535
3,0.8910065241883679
4,0.8090169943749475
5,0.7071067811865476
6,0.5877852522924731
7,0.4539904997395468
8,0.30901699437494745
9,0.15643446504023092
10,6.123233995736766e-17
11,-0.1564344650402308
12,-0.30901699437494734
13,-0.45399049973954675
14,-0.587785252292473
15,-0.7071067811865475
16,-0.8090169943749473
17,-0.8910065241883678
18,-0.9510565162951535
19,-0.9876883405951377
20,-1.0
21,-0.9876883405951378
22,-0.9510565162951536
23,-0.8910065241883679
24,-0.8090169943749475
25,-0.7071067811865477
26,-0.5877852522924732
27,-0.4539904997395469
28,-0.30901699437494756
29,-0.15643446504023104
30,-1.8369701987210297e-16
31,0.15643446504023067
32,0.30901699437494723
33,0.45399049973954664
34,0.5877852522924729
35,0.7071067811865474
36,0.8090169943749473
37,0.8910065241883678
38,0.9510565162951535
39,0.9876883405951377
40,1.0
41,0.9876883405951378
42,0.9510565162951536
43,0.891006524188368
44,0.8090169943749476
45,0.7071067811865477
46,0.5877852522924734
47,0.453990499739547
48,0.30901699437494773
49,0.15643446504023117
50,3.061616997868383e-16
51,-0.15643446504022968
52,-0.3090169943749471
53,-0.4539904997395473
54,-0.5877852522924729
55,-0.7071067811865467
56,-0.8090169943749472
57,-0.8910065241883681
58,-0.9510565162951534
59,-0.9876883405951375
60,-1.0
61,-0.9876883405951377
62,-0.9510565162951536
63,-0.8910065241883685
64,-0.8090169943749477
65,-0.7071067811865471
66,-0.5877852522924735
67,-0.45399049973954797
68,-0.30901699437494784
69,-0.1564344650402304
70,-4.286263797015736e-16
71,0.15643446504022956
72,0.309016994374947
73,0.4539904997395472
74,0.5877852522924728
75,0.7071067811865466
76,0.8090169943749471
77,0.891006524188368
78,0.9510565162951534
79,0.9876883405951375
80,1.0
81,0.9510565162951532
82,0.8090169943749478
83,0.587785252292475
84,0.30901699437494795
85,-1.2252657797839415e-15
86,-0.3090169943749469
87,-0.5877852522924712
88,-0.8090169943749471
89,-0.951056516295154
90,-1.0
91,-0.9510565162951543
92,-0.8090169943749478
93,-0.5877852522924722
94,-0.30901699437494806
95,-2.4499125789312946e-15
96,0.3090169943749468
97,0.587785252292474
98,0.809016994374947
99,0.9510565162951528
100,1.0
101,0.9510565162951533
102,0.80901699437495
103,0.5877852522924751
104,0.3090169943749482
105,-9.803364199544708e-16
106,-0.30901699437495006
107,-0.587785252292471
108,-0.8090169943749469
109,-0.9510565162951539
110,-1.0
111,-0.9510565162951544
112,-0.8090169943749479
113,-0.5877852522924725
114,-0.3090169943749449
115,-2.6948419387607653e-15
116,0.30901699437494656
117,0.5877852522924738
118,0.8090169943749448
119,0.9510565162951528
120,1.0
121,0.9510565162951533
122,0.8090169943749459
123,0.5877852522924754
124,0.3090169943749484
125,-7.354070601250002e-16
126,-0.30901699437494307
127,-0.5877852522924708
128,-0.8090169943749468
129,-0.9510565162951538
130,-1.0
131,-0.9510565162951544
132,-0.8090169943749481
133,-0.5877852522924726
134,-0.3090169943749519
135,-2.939771298590236e-15
136,0.3090169943749463
137,0.5877852522924736
138,0.8090169943749488
139,0.9510565162951526
140,1.0
141,0.9510565162951534
142,0.8090169943749502
143,0.5877852522924756
144,0.3090169943749486
145,-4.904777002955296e-16
146,-0.30901699437494956
147,-0.5877852522924706
148,-0.8090169943749467
149,-0.9510565162951538
150,-1.0
151,-0.9510565162951545
152,-0.8090169943749482
153,-0.5877852522924728
154,-0.3090169943749454
155,-3.1847006584197066e-15
156,0.30901699437494606
157,0.5877852522924734
158,0.8090169943749445
159,0.9510565162951525
